label,target_depth,prompt_tokens,ttft_s,prefill_tok_s,decode_tokens,decode_s,decode_tok_s,total_s
ninfer-mtp,8192,8172,7.39,1105.8,64,0.513,124.81,7.903
ninfer-mtp,16384,16432,15.758,1042.8,64,0.53,120.84,16.288
ninfer-mtp,32768,32962,33.565,982.0,64,0.518,123.59,34.083
ninfer-mtp,65536,66109,73.638,897.8,64,0.638,100.24,74.277
ninfer-mtp,131072,132926,173.909,764.3,64,1.134,56.42,175.043
ninfer-mtp,196608,199982,304.123,657.6,64,1.203,53.19,305.326
ninfer-mtp,245760,250230,422.623,592.1,64,1.482,43.17,424.105
