label,target_depth,prompt_tokens,ttft_s,prefill_tok_s,decode_tokens,decode_s,decode_tok_s,total_s
ninfer-nomtp,8192,8172,7.158,1141.7,64,0.562,113.95,7.719
ninfer-nomtp,16384,16432,15.179,1082.5,64,0.587,109.11,15.766
ninfer-nomtp,32768,32962,31.426,1048.9,64,0.677,94.54,32.103
ninfer-nomtp,65536,66109,68.529,964.7,64,0.872,73.37,69.402
ninfer-nomtp,131072,132926,162.355,818.7,64,1.198,53.44,163.553
ninfer-nomtp,196608,199982,293.585,681.2,64,1.535,41.68,295.121
ninfer-nomtp,245760,250230,413.291,605.5,64,1.767,36.21,415.059
