label,target_depth,prompt_tokens,ttft_s,prefill_tok_s,decode_tokens,decode_s,decode_tok_s,total_s
ninfer-dp4a,8192,8172,4.368,1870.8,64,0.562,113.82,4.931
ninfer-dp4a,16384,16432,9.183,1789.3,64,0.597,107.17,9.781
ninfer-dp4a,32768,32962,19.188,1717.9,64,0.689,92.94,19.876
ninfer-dp4a,65536,66109,44.07,1500.1,64,0.886,72.22,44.956
ninfer-dp4a,131072,132926,114.384,1162.1,64,1.21,52.9,115.594
ninfer-dp4a,196608,199982,224.991,888.8,64,1.536,41.68,226.526
ninfer-dp4a,245760,250230,326.189,767.1,64,1.772,36.12,327.961
